Cc,Sucursal,GRABADOR,ALARMA,CONTROL,SINCROBACK
1375,Buenos Aires,192.168.233.162,192.168.233.169,192.168.233.170,192.168.233.171
2185,Michimaloya,192.168.240.178,192.168.240.185,192.168.240.186,192.168.240.187
1482,Pijijilpan ,192.168.233.178,192.168.233.185,192.168.233.186,192.168.233.187
1373,Xpujil ,192.168.232.82,192.168.232.89,192.168.232.90,192.168.232.91
1825,Pajacuaran,192.168.242.82,192.168.242.89,192.168.242.90,192.168.242.91
1587,Carrillo Puerto Campeche,192.168.232.130,192.168.232.137,192.168.232.138,192.168.232.139
1451,Molango Hidalgo,192.168.241.82,192.168.241.89,192.168.241.90,192.168.241.91
1706,Vicente Guerrero,192.168.246.178,192.168.246.185,192.168.246.186,192.168.246.187
1549,Cárdenas Francisco I Madero ,192.168.252.226,192.168.252.233,192.168.252.234,192.168.252.235
1441,Puerto Madero,192.168.234.178,192.168.234.185,192.168.234.186,192.168.234.187
1597,Petaquillas,192.168.240.34,192.168.240.41,192.168.240.42,192.168.240.43
1474,Sucila Yucatan,192.169.2.98,192.169.2.105,192.169.2.106,192.169.2.107
1473,Kaua Yucatan,192.169.2.66,192.169.2.73,192.169.2.74,192.169.2.75
1670,San Bartolo,192.168.247.50,192.168.247.57,192.168.247.58,192.168.247.59
2120,Huimanguillo,192.168.252.242,192.168.252.249,192.168.252.250,192.168.252.251
1288,Guamuchil ISSSTE,192.168.252.98,192.168.252.105,192.168.252.106,192.168.252.107
1244,San Pedro de la Garza,192.168.244.18,192.168.244.25,192.168.244.26,192.168.244.27
1632,Calnali,192.168.241.2,192.168.241.9,192.168.241.10,192.168.241.11
1302,San Pedro Comitancillo,192.168.245.178,192.168.245.185,192.168.245.186,192.168.245.187
1491,Tianguistengo,192.168.238.82,192.168.238.89,192.168.238.90,192.168.238.91
1324,Zimatitlan,192.168.246.66,192.168.246.73,192.168.246.74,192.168.246.75
1438,Escarcega,192.168.232.178,192.168.232.185,192.168.232.186,192.168.232.187
1140,Linares,192.168.228.34,192.168.228.41,192.168.228.42,192.168.228.43
1152,Villa Hermosa,192.168.228.226,192.168.228.233,192.168.228.234,192.168.228.235
1873,Teopoxco,192.168.244.242,192.168.244.249,192.168.244.250,192.168.244.251
1304, Atzompa,192.168.245.210,192.168.245.217,192.168.245.218,192.168.245.219
1478,Champoton,192.168.232.162,192.168.232.169,192.168.232.170,192.168.232.171
1176,Zimapan,192.168.241.66,192.168.241.73,192.168.241.74,192.168.241.75
1883,Villa Diaz Ordaz,192.168.244.162,192.168.244.169,192.168.244.170,192.168.244.171
1868,Santa Cruz Papalutla,192.168.245.18,192.168.245.25,192.168.245.26,192.168.245.27
1747,Escuintla,192.168.234.146,192.168.234.153,192.168.234.154,192.168.234.155
1105,Altamirano,192.168.225.226,192.168.225.233,192.168.225.234,192.168.225.235
1456,San Juanito de Escobedo,192.168.242.2,192.168.242.9,19.168.242.10,19.168.242.11
1667,Telixtlahuaca,192.168.247.114,192.168.247.121,192.168.247.122,192.168.247.123
1413,Costa Rica,192.168.252.2,192.168.252.9,192.168.252.10,192.168.252.11
1846,Sta.Lucia Ocotlan,192.168.245.2,192.168.245.9,192.168.245.10,192.168.245.11
1153,Villahermosa,192.168.228.242,192.168.228.249,192.168.228.250,192.168.228.251
1890,Palmar del Bravo,192.168.249.50,192.168.249.57,192.168.249.58,192.168.249.59
1914,Españita ,192.168.254.34,192.168.254.41,192.168.254.42,192.168.254.43
1838,Barrio San José Morelos,192.168.243.82,192.168.243.89,192.168.243.90,192.168.243.91
1380, Bocoyna San Juanito,192.168.234.226,192.168.234.233,192.168.234.234,192.168.234.235
1128,Sta. Cruz Tlaxcala ,192.168.227.50,192.168.227.57,192.168.227.58,192.168.227.59
1881,Taniche,192.168.244.194,192.168.244.201,192.168.244.202,192.168.244.203
1187,Lazaro Cardenas,192.168.242.66,192.168.242.73,192.168.242.74,192.168.242.75
2166,Ocozocoautla,192.168.233.34,192.168.233.41,192.168.233.42,192.168.233.43
1144,Zacatlan,192.168.228.98,192.168.228.105,192.168.228.106,192.168.228.107
1466,Segalmex,192.168.251.162,192.168.251.169,192.168.251.170,192.168.251.171
1356,Ciudad Fernandez,192.168.229.242,192.168.229.249,192.168.229.250,192.168.229.251
1903,Chinobampo,192.168.251.194,192.168.251.201,192.168.251.202,192.168.251.203
1368,Ario de Rosales,192.168.242.178,192.168.242.185,192.168.242.186,192.168.242.187
2062,Nopala,192.168.240.226,192.168.240.233,192.168.240.234,192.168.240.235
1123,Villamar,192.168.226.242,192.168.226.249,192.168.256.250,192.168.256.251
1453,Pachuca de Soto,192.168.241.98,192.168.241.105,192.168.241.106,192.168.241.107
1454,Progreso de Obregon,192.168.241.114,192.168.241.121,192.168.241.122,192.168.241.123
1477,San Francisco Campeche,192.168.232.146,192.168.232.153,192.168.232.154,192.168.232.155
1236,Actopan,192.168.241.34,192.168.241.41,192.168.241.42,192.168.241.43
1418,Victoria,192.168.253.114,192.168.253.121,192.168.253.122,192.168.253.123
1156,Jaltipan,192.168.229.34,192.168.229.41,192.168.229.42,192.168.229.43
1493,Jiquilpan,192.168.242.210,192.168.242.217,192.168.242.218,192.168.242.219
2028,RANCHO NUEVO DE LA CRUZ,192.168.238.162,192.168.238.169,192.168.238.170,192.168.238.171
1207,SOLEDAD DE GRACIANO SANCHEZ,192.168.230.34,192.168.230.41,192.168.230.42,192.168.230.43
1410,Villa de Ahome,192.168.251.226,192.168.251.233,192.168.251.234,192.168.251.235
1900,Ebano,192.168.251.98,192.168.251.105,192.168.251.106,192.168.251.107
1991,Calkini 2 ,192.168.232.194,192.168.232.201,192.168.232.202,192.168.232.203
1197,San José Chiapa,192.168.250.162,192.168.250.169,192.168.250.170,192.168.250.171
1896,Tepeaca Santiago,192.168.248.178,192.168.248.185,192.168.248.186,192.168.248.187
1920,Tlaxcala Rosario,192.168.253.226,192.168.253.233,192.168.253.234,192.168.253.235
1718,Arista,192.168.250.242,192.168.250.249,192.168.250.250,192.168.250.251
1921,Tlaxco Union Ejidal,192.168.253.210,192.168.253.217,192.168.253.218,192.168.253.219
1414,Escuinapa Solidaridad,192.168.252.34,192.168.252.41,192.168.252.42,192.168.252.43
1540,Tepetitlan ISSSTE,192.168.242.34,192.168.242.41,192.168.242.42,192.168.242.43
1261,Tepic SADER,192.168.243.178,192.168.243.185,192.168.243.186,192.168.243.187
1334,Merida Yucatan,192.169.2.162,192.169.2.169,192.169.2.170,192.169.2.171
1876,Trinidad Zaachila,192.168.244.178,192.168.244.185,192.168.244.186,192.168.244.187
1243,Guadalupe Palacio Fed.,192.168.244.2,192.168.244.9,192.168.244.10,192.168.244.11
1849,Reforma de Pineda,192.168.245.242,192.168.245.249,192.168.245.250,192.168.245.251
2169, Teopisca Betania Chiapas,192.168.232.242,192.168.232.249,192.168.232.250,192.168.232.251
1377,San Cristobal SEDENA,192.168.234.130,192.168.234.137,192.168.234.138,192.168.234.139
1851,San Bartolo Coyotepec,192.168.245.226,192.168.245.233,192.168.245.234,192.168.245.235
1440,San Juan Chamula,192.168.234.18,192.168.234.25,192.168.234.26,192.168.234.27
1902,San Ciro de Acosta,192.168.251.82,192.168.251.89,192.168.251.90,192.168.251.91
1797,Coyuca de Catalan,192.168.240.130,192.168.240.137,192.168.240.138,192.168.240.139
1971,Oteapan,192.169.0.162,192.169.0.169,192.169.0.170,192.169.0.171
1354,Pabellon Arteaga,192.168.231.50,192.168.231.57,192.168.231.58,192.168.231.59
2124,Nanacamilpa,192.168.254.18,192.168.254.25,192.168.254.26,192.168.254.27
1114,Metepec IMSS,192.168.227.66,192.168.227.73,192.168.227.74,192.168.227.75
2100,San Nicolas Puebla,192.168.249.178,192.168.249.185,192.168.249.186,192.168.249.187
1177,Mascota,192.168.229.146,192.168.229.153,192.168.229.154,192.168.229.155
1668,Tlacochahuaya,192.168.247.82,192.168.247.89,192.168.247.90,192.168.247.91
1221,San José de Lourdes,192.169.2.242,192.169.2.249,192.169.2.250,192.169.2.251
2117,Poblado C-17 Independencia,192.168.253.18,192.168.253.25,192.168.253.26,192.168.253.27
1310,Loagalla,192.168.246.2,192.168.246.9,192.168.246.10,192.168.246.11
1840,Zaragoza,192.168.243.210,192.168.243.217,192.168.243.218,192.168.243.219
1400, Ixtlan IMSS,192.168.242.194,192.168.242.201,192.168.242.202,192.168.242.203
1447,Cruz Grande,192.168.240.98,192.168.240.105,192.168.240.106,192.168.240.107
1240,Cadereyta,192.168.243.242,192.168.243.249,192.168.243.250,192.168.243.251
1619,Durango,192.168.237.2,192.168.237.9,192.168.237.10,192.168.237.11
1342,Insurgentes,192.168.231.2,192.168.231.9,192.168.231.10,192.168.231.11
1115,Tepeapulco,192.168.227.82,192.168.227.89,192.168.227.90,192.168.227.91
1442,Lerdo,192.168.236.226,192.168.236.233,192.168.236.234,192.168.236.235
1947,Acanchen Yucatan,192.169.2.146,192.169.2.153,192.168.2.154,192.168.2.155
1228,Paso del Macho,192.169.1.18,192.169.1.25,192.169.1.26,192.169.1.27
1353,Calvillo IMSS,192.168.231.34,192.168.231.41,192.168.231.42,192.168.231.43
2158,Chenalho,192.168.233.50,192.168.233.57,192.168.233.58,192.168.233.59
2199,Santos Reyes Nopala,192.168.244.98,192.168.244.105,192.168.244.106,192.168.244.107
1409,El Saucito,192.168.251.146,192.168.251.153,192.168.251.154,192.168.251.155
1470,Cordoba,192.169.1.130,192.169.1.137,192.168.1.138,192.168.1.139
1839,Ciudad General Teran,192.168.243.226,192.168.243.233,192.168.243.233,192.168.243.234
1287,Juan josé Rios,192.168.252.66,192.168.252.73,192.168.252.74,192.168.252.75
1172, Atlapexco,192.168.240.194,192.168.240.201,192.168.240.202,192.168.240.203
2224,Las Chopas Tancochapa,192.168.254.146,192.168.254.153,192.168.254.154,192.168.254.155
1417,Juamave Contadora,192.168.253.130,192.168.253.137,192.168.253.138,192.168.253.139
2171,Paredon Chiapas,192.168.232.226,192.168.232.233,192.168.232.234,192.168.232.235
1518,San Fernando Tamaulipas,192.168.253.146,192.168.253.153,192.168.253.154,192.168.253.155
1246,Penjamo SADER,192.168.238.242,192.168.238.249,192.168.238.250,192.168.238.251
1431,Temozon,192.169.2.194,192.169.2.201,192.168.2.202,192.168.2.203
1110,Allende IMSS,192.168.226.50,192.168.226.57,192.168.226.58,192.168.226.59
1468,Xicotencatl IMPI, 192.168.230.18 ,192.168.230.25,192.168.230.26,192.168.230.27
1893,San Nicolas Buenos Aires,192.168.248.210,192.168.248.217,192.168.248.18,192.168.248.19
1245,Irapuato SADER,192.168.238.194,192.168.238.201,192.168.238.202,192.168.238.203
1249,Ensenada SAT,192.168.231.82,192.168.231.89,192.168.231.90,192.168.231.91
1917,San Lucas Tecopilco,192.168.254.2,192.168.254.9,192.168.254.10,192.168.254.11
1932,Macayapan,192.169.0.98,192.169.0.105,192.169.0.106,192.169.0.107
1464,Puerto Escindido,192.168.248.50,192.168.248.57,192.168.248.58,192.168.248.59
1367,Zapotlan del Rey,192.168.242.50,192.168.242.57,192.168.242.58,192.168.242.59
1721,Tanlajas ,192.168.251.130,192.168.251.137,192.168.251.138,192.168.251.139
2177,Cuahutemoc Chiapas,192.168.232.210,192.168.232.217,192.168.232.218,192.168.232.219
