,sucursal,nombre,ip,channel,starttime,endtime,diff
136,2375,XOCHIMILCO 4,192.169.4.162,10,2023-04-18 18:40:25,2023-04-18 23:59:00,318.5833333333333
137,2375,XOCHIMILCO 4,192.169.4.162,11,2023-04-17 22:59:00,2023-04-18 08:43:17,584.2833333333333
138,2375,XOCHIMILCO 4,192.169.4.162,11,2023-04-18 18:40:41,2023-04-18 23:59:00,318.31666666666666
139,2375,XOCHIMILCO 4,192.169.4.162,12,2023-04-17 22:59:00,2023-04-18 08:43:16,584.2666666666667
140,2375,XOCHIMILCO 4,192.169.4.162,12,2023-04-18 18:40:44,2023-04-18 23:59:00,318.26666666666665
141,2374,ALVARO OBREGON 3,192.169.4.98,0,2023-04-18 18:40:44,2023-04-18 23:59:00,318.26666666666665
142,2352,CUAJIMALPA,192.169.5.194,0,2023-04-17 22:59:00,2023-04-18 08:10:13,551.2166666666667
143,2352,CUAJIMALPA,192.169.5.194,1,2023-04-17 22:59:00,2023-04-18 08:10:13,551.2166666666667
144,2352,CUAJIMALPA,192.169.5.194,1,2023-04-18 19:00:00,2023-04-18 23:59:00,299.0
145,2352,CUAJIMALPA,192.169.5.194,2,2023-04-17 22:59:00,2023-04-18 08:10:14,551.2333333333333
146,2352,CUAJIMALPA,192.169.5.194,2,2023-04-18 19:00:00,2023-04-18 23:59:00,299.0
147,2352,CUAJIMALPA,192.169.5.194,3,2023-04-17 22:59:00,2023-04-18 08:10:16,551.2666666666667
148,2352,CUAJIMALPA,192.169.5.194,3,2023-04-18 19:00:36,2023-04-18 23:59:00,298.4
149,2352,CUAJIMALPA,192.169.5.194,4,2023-04-17 22:59:00,2023-04-18 08:10:14,551.2333333333333
150,2352,CUAJIMALPA,192.169.5.194,4,2023-04-18 19:00:00,2023-04-18 23:59:00,299.0
151,2352,CUAJIMALPA,192.169.5.194,5,2023-04-17 22:59:00,2023-04-18 08:10:15,551.25
152,2352,CUAJIMALPA,192.169.5.194,5,2023-04-18 19:00:04,2023-04-18 23:59:00,298.93333333333334
153,2352,CUAJIMALPA,192.169.5.194,6,2023-04-17 22:59:00,2023-04-18 08:10:16,551.2666666666667
154,2352,CUAJIMALPA,192.169.5.194,6,2023-04-18 19:00:04,2023-04-18 23:59:00,298.93333333333334
155,2352,CUAJIMALPA,192.169.5.194,7,2023-04-17 22:59:00,2023-04-18 08:10:15,551.25
