
sucursal:246, cameras:12,videos_lost:3 
sucursal:242, cameras:13,videos_lost:5 
sucursal:242, cameras:13,videos_lost:5 
sucursal:246, cameras:12,videos_lost:3 
sucursal:238, cameras:16,videos_lost:0 
sucursal:242, cameras:13,videos_lost:5 
sucursal:248, cameras:6,videos_lost:0 
sucursal:242, cameras:13,videos_lost:3 
sucursal:246, cameras:12,videos_lost:2 
sucursal:238, cameras:16,videos_lost:0 
sucursal:249, cameras:9,videos_lost:2 
sucursal:238, cameras:16,videos_lost:0 
sucursal:238, cameras:16,videos_lost:0 
sucursal:246, cameras:12,videos_lost:2 
sucursal:238, cameras:16,videos_lost:0 
sucursal:251, cameras:4,videos_lost:3 
sucursal:238, cameras:16,videos_lost:0 
sucursal:251, cameras:4,videos_lost:6 
sucursal:250, cameras:4,videos_lost:1 
sucursal:248, cameras:6,videos_lost:0 
sucursal:251, cameras:4,videos_lost:6 
sucursal:254, cameras:4,videos_lost:0 
sucursal:249, cameras:9,videos_lost:1 
sucursal:252, cameras:4,videos_lost:0 
sucursal:248, cameras:6,videos_lost:0 
sucursal:254, cameras:4,videos_lost:0 
sucursal:248, cameras:6,videos_lost:0 
sucursal:251, cameras:4,videos_lost:15 
sucursal:254, cameras:4,videos_lost:0 
sucursal:252, cameras:4,videos_lost:0 
sucursal:250, cameras:4,videos_lost:3 
sucursal:254, cameras:4,videos_lost:0 
sucursal:252, cameras:4,videos_lost:0 
sucursal:250, cameras:4,videos_lost:1 
sucursal:249, cameras:9,videos_lost:1 
sucursal:252, cameras:4,videos_lost:0 
sucursal:258, cameras:8,videos_lost:4 
sucursal:257, cameras:10,videos_lost:21 
sucursal:249, cameras:9,videos_lost:0 
sucursal:258, cameras:8,videos_lost:1 
sucursal:249, cameras:9,videos_lost:0 
sucursal:248, cameras:6,videos_lost:0 
sucursal:259, cameras:4,videos_lost:3 
sucursal:249, cameras:9,videos_lost:0 
sucursal:249, cameras:9,videos_lost:0 
sucursal:258, cameras:8,videos_lost:4 
